Empresas;Total
EMBRAER S.A.;8042751495,59
XINGU RIO TRANSMISSORA DE ENERGIA S.A.;5213550000,00
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;5040000000,00
VIAPAULISTA S.A.;3645385000,00
SUZANO S.A.;3599333000,00
BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.;3278396000,00
RUMO MALHA NORTE S.A;2428804572,00
CONCESSIONARIA DE RODOVIA SUL - MATOGROSSENSE S.A;2319915000,00
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES;1929086144,00
LOGUM LOGISTICA S A;1810696000,00
FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.;1777101100,00
UTE GNA I GERACAO DE ENERGIA S.A.;1762800000,00
MUNICIPIO DE RIO DE JANEIRO;1645239999,00
CONCESSIONARIA AEROPORTO RIO DE JANEIRO S.A.;1619999999,00
ARGO TRANSMISSAO DE ENERGIA S.A.;1543357000,00
TIM CELULAR S.A.;1500000000,00
LOJAS AMERICANAS S.A.;1490640000,00
COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA;1422812746,00
CENTRAIS ELETRICAS DO PARA S.A. - CELPA;1341576000,00
EMPRESA DE ENERGIA SAO MANOEL S.A.;1314000000,00
VLI MULTIMODAL S.A.;1254403038,00
FRAPORT BRASIL S.A AEROPORTO DE PORTO ALEGRE;1250054000,00
COMPANHIA ENERGETICA DO MARANHAO;1219310000,00
LIGHT SERVICOS DE ELETRICIDADE S A;1074708774,00
GE ENERGIAS RENOVAVEIS LTDA.;1071078976,44
COMPANHIA ENERGETICA SINOP SA;1046000000,00
RENAULT DO BRASIL S.A;1040629750,00
COMPANHIA DO METRO DA BAHIA;1040152614,00
MATA DE SANTA GENEBRA TRANSMISSAO S.A.;1018500000,00
COMPANHIA PAULISTA DE FORCA E LUZ;953392000,00
PARANAITA RIBEIRAOZINHO TRANSMISSORA DE ENERGIA S.A.;922672768,00
PETROBRAS TRANSPORTE S.A - TRANSPETRO;915532862,00
B2W  COMPANHIA DIGITAL;913736000,00
WEG EQUIPAMENTOS ELETRICOS S/A;912190000,00
ECO101 CONCESSIONARIA DE RODOVIAS S/A;882144000,00
COMPANHIA ENERGETICA DE PERNAMBUCO;858142443,00
TRANSMISSORA JOSE MARIA DE MACEDO DE ELETRICIDADE S.A.;814064000,00
ELEKTRO REDES S.A.;785113000,00
AUTOPISTA REGIS BITTENCOURT S/A;775346000,00
CLARO S.A.;770568376,32
USINA TERMELETRICA PAMPA SUL S/A;728950000,00
SCANIA LATIN AMERICA LTDA;723440744,96
RUMO MALHA SUL S.A;672600044,00
COAMO AGROINDUSTRIAL COOPERATIVA;635232341,00
CUTIA EMPREENDIMENTOS EOLICOS S/A;619405000,00
GERACAO CEU AZUL S.A.;600000000,00
FORD MOTOR COMPANY BRASIL LTDA;596878570,00
RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;582453000,00
TEREOS ACUCAR E ENERGIA BRASIL S.A.;575155160,00
RIO GRANDE ENERGIA SA;550571000,00
