Listagem dos 50 maiores tomadores de recursos do BNDES;;;;
;;;;
Tomador de recursos;Total;Financiamentos;Renda Variável;
PETROLEO BRASILEIRO S A PETROBRAS;38.718.946.180,59;13.965.408.106,59;24.753.538.074,00;
NORTE ENERGIA S/A;25.387.812.308,00;25.387.812.308,00;0;
VALE S.A.;9.325.469.834,32;8.968.357.745,32;357.112.089,00;
EMBRAER S.A.;7.289.964.889,52;7.289.964.889,52;0;
CAIXA ECONOMICA FEDERAL;6.718.841.893,00;6.718.841.893,00;0;
BANCO DO BRASIL S.A.;6.205.297.696,78;6.205.297.696,78;0;
ELETROBRAS TERMONUCLEAR S.A. - ELETRONUCLEAR;6.146.256.000,00;6.146.256.000,00;0;
SUZANO PAPEL E CELULOSE S.A.;5.016.459.220,98;4.314.161.413,98;702.297.807,00;
TELEFONICA BRASIL S.A.;4.739.348.245,30;4.739.348.245,30;0;
ESTADO DE SAO PAULO;4.256.620.269,00;4.256.620.269,00;0,00;
FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.;4.090.340.308,75;4.090.340.308,75;0;
CONSTRUTORA NORBERTO ODEBRECHT S.A.;4.028.111.085,21;4.028.111.085,21;0;
ESTADO DO ESPIRITO SANTO;3.780.400.000,00;3.780.400.000,00;0;
FINANCIADORA DE ESTUDOS E PROJETOS - FINEP;3.000.000.000,00;3.000.000.000,00;0,00;
ANDRADE GUTIERREZ ENGENHARIA S/A;2.947.675.486,08;2.947.675.486,08;0;
MARFRIG GLOBAL FOODS S.A.;2.869.771.326,20;256.911.301,20;2.612.860.025,00;
COMPANHIA HIDRELETRICA TELES PIRES;2.862.000.000,00;2.862.000.000,00;0;
ELDORADO BRASIL CELULOSE S/A;2.746.201.630,00;2.746.201.630,00;0,00;
TIM CELULAR S.A.;2.699.464.000,00;2.699.464.000,00;0;
BRASKEM S A;2.618.350.555,20;2.378.459.126,20;239.891.429,00;
INTERLIGACAO ELETRICA DO MADEIRA S/A;2.540.570.000,00;2.540.570.000,00;0;
CMPC CELULOSE RIOGRANDENSE LTDA;2.504.448.803,00;2.504.448.803,00;0;
TELEMAR NORTE LESTE S/A. - EM RECUPERACAO JUDICIAL;2.430.766.000,00;2.430.766.000,00;0;
AMBEV S.A.;2.420.701.199,25;2.420.701.199,25;0;
ESTADO DE MATO GROSSO;2.269.366.697,00;2.269.366.697,00;0;
ENERGIA SUSTENTAVEL DO BRASIL S.A.;2.200.000.000,00;2.200.000.000,00;0;
ESTALEIRO ATLANTICO SUL SA;2.174.486.876,44;2.174.486.876,44;0;
ESTADO DE MINAS GERAIS;2.102.995.775,00;2.102.995.775,00;0;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;2.047.465.358,73;2.047.465.358,73;0;
ESTADO DE PERNAMBUCO;1.916.443.081,00;1.916.443.081,00;0,00;
WEG EQUIPAMENTOS ELETRICOS S/A;1.912.608.384,95;1.912.608.384,95;0;
JBS S.A.;1.880.983.317,90;668.695.896,90;1.212.287.421,00;
OI S.A. - EM RECUPERACAO JUDICIAL;1.804.975.760,00;1.804.975.760,00;0;
ESTADO DE GOIAS;1.784.310.000,00;1.784.310.000,00;0;
MERCEDES-BENZ DO BRASIL LTDA.;1.763.619.302,66;1.763.619.302,66;0;
MRS LOGISTICA S.A;1.756.774.365,62;1.756.774.365,62;0;
PORTO SUDESTE DO BRASIL SA;1.738.358.714,46;1.738.358.714,46;0;
VOTORANTIM CIMENTOS S.A.;1.632.760.786,22;1.632.760.786,22;0;
CNH INDUSTRIAL BRASIL LTDA.;1.630.162.989,23;1.630.162.989,23;0;
LOGUM LOGISTICA S A;1.586.300.000,00;1.586.300.000,00;0;
OI MOVEL S.A. - EM RECUPERACAO JUDICIAL;1.502.768.000,00;1.502.768.000,00;0;
SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL SENAI;1.499.999.998,00;1.499.999.998,00;0;
BRF S.A.;1.480.517.820,99;1.480.517.820,99;0;
ESTADO DO PARA;1.465.775.058,00;1.465.775.058,00;0;
JSL S/A;1.434.593.531,12;1.434.593.531,12;0;
RENAULT DO BRASIL S.A;1.428.393.799,96;1.428.393.799,96;0;
BRENCO - COMPANHIA BRASILEIRA DE ENERGIA RENOVAVEL;1.426.011.701,16;1.426.011.701,16;0;
ESTADO DO CEARA                              (07954480);1.413.004.118,00;1.413.004.118,00;0;
KLABIN S.A.;1.355.503.108,98;1.355.503.108,98;0;
NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;1.345.000.000,00;1.345.000.000,00;0;
